OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
630,A097,-97.886,413899,495739,-91.79,6.962,79.995,-96.66,1.226
631,A098,-98.199,406158,503202,-78.53,7.029,79.924,-96.9,1.299
632,A099,-98.065,406342,513941,-82.855,7.126,79.926,-96.88,1.185
633,A100,-98.346,400153,517935,-96.359,7.162,79.87,-97.12,1.226
634,A101,-98.548,395981,523114,-92.103,7.209,79.832,-97.29,1.258
635,A102,-97.955,408693,519022,-83.629,7.172,79.947,-96.77,1.185
636,A104,-97.48,419169,529405,-55.362,7.266,80.042,-96.27,1.21
637,A105,-97.146,428205,526637,-27.796,7.241,80.124,-95.85,1.296
638,A106,-97.388,423595,514762,-66.059,7.134,80.082,-96.13,1.258
639,A107,-96.782,436485,507641,29.374,7.07,80.199,-95.56,1.222
640,A108,-95.95,453242,527647,121.891,7.251,80.35,-94.74,1.21
641,A109,-95.635,466414,524275,220.891,7.22,80.47,-93.89,1.745
642,A110,-96.732,439028,527962,29.16,7.253,80.222,-95.37,1.362
643,A111,-95.819,453761,515432,160.143,7.14,80.355,-94.59,1.229
644,A112,-95.743,454319,499398,-38.447,6.995,80.36,-94.51,1.233
645,A113,-95.956,452496,489341,42.245,6.904,80.344,-94.7,1.256
646,A115,-94.119,471550,490745,834.465,6.917,80.516,-92.78,1.339
647,A116,-93.222,492418,475929,1362.272,6.783,80.705,-92.05,1.172
648,A117,-92.681,506428,484569,1822.006,6.861,80.832,-91.42,1.261
649,A119,-92.459,497751,497716,1941.602,6.98,80.753,-91.14,1.319
650,A120,-93.853,501010,518362,757.316,7.167,80.783,-92.19,1.663
651,A121,-94.342,518074,521578,135.557,7.196,80.937,-92.88,1.462
652,A122,-93.272,510255,510958,752.55,7.1,80.867,-92.02,1.252
653,A123,-93.307,515875,481836,1183.468,6.837,80.917,-91.89,1.417
654,A124,-94.08,518736,472373,793.741,6.751,80.943,-92.77,1.31
655,A125,-93.771,531406,485518,967.944,6.87,81.058,-92.46,1.311
656,A126,-94.144,543110,493289,850.013,6.94,81.164,-92.92,1.224
657,A127,-93.72,530594,499410,600.405,6.995,81.051,-92.4,1.32
658,A129,-94.048,530474,515295,203.088,7.139,81.05,-93.03,1.018
659,A130,-95.067,549990,532943,60.579,7.298,81.226,-93.89,1.177
660,A131,-94.94,534117,528834,54.449,7.261,81.083,-93.64,1.3
661,A132,-95.134,537819,543785,48.34,7.397,81.116,-94.03,1.104
662,A134,-95.649,530284,573779,-12.11,7.668,81.048,-94.32,1.329
663,A135,-95.358,527533,551722,2.997,7.468,81.023,-93.99,1.368
664,A136,-94.936,523731,537408,-9.267,7.339,80.989,-93.55,1.386
665,A137,-94.139,512636,536138,689.206,7.328,80.888,-92.88,1.259
666,A140,-93.468,484532,512534,891.863,7.114,80.634,-92.24,1.228
667,A143,-94.356,480921,530109,380.671,7.273,80.601,-93.03,1.326
668,A144,-94.217,495750,543951,849.048,7.398,80.735,-92.77,1.447
669,A145,-94.643,483229,550982,289.177,7.462,80.622,-93.39,1.253
670,A146,-94.628,497772,560728,795.437,7.55,80.754,-93.37,1.258
671,A147,-95.208,515695,560112,2.164,7.544,80.916,-93.87,1.338
672,A148,-95.585,522884,579232,-38.677,7.717,80.981,-94.35,1.235
673,A149,-95.331,486769,577657,214.306,7.703,80.654,-94.02,1.311
674,A150,-95.711,486512,595276,68.506,7.862,80.651,-94.35,1.361
675,A151,-95.723,477880,584552,101.897,7.765,80.573,-94.37,1.353
676,A152,-94.976,483577,563377,256.133,7.574,80.625,-93.72,1.256
677,A153,-95.76,467546,566029,68.933,7.598,80.48,-94.5,1.26
678,A154,-96.834,455663,553378,237.923,7.483,80.372,-94.88,1.954
679,A155,-96.176,448486,536704,-28.013,7.332,80.307,-95.05,1.126
680,A156,-96.744,438657,546955,-21.389,7.425,80.218,-95.55,1.194
681,A158,-96.138,463776,577120,20.964,7.698,80.445,-94.83,1.308
682,A159,-96.488,458730,592464,33.994,7.837,80.399,-95.18,1.308
683,A160,-96.423,463228,603993,35.026,7.941,80.44,-95.1,1.323
684,A161,-97.031,444554,610716,1.595,7.002,80.271,-95.2,1.831
685,A162,-97.105,441351,600905,-6.84,7.913,80.242,-95.75,1.355
686,A163,-96.998,444257,591185,-8.676,7.825,80.268,-95.64,1.358
687,A164,-97.564,419582,592895,-34.683,7.84,80.045,-96.32,1.244
688,A165,-97.43,427672,582966,-43.105,7.751,80.118,-96.08,1.35
689,A166,-97.017,440433,568280,-7.055,7.618,80.234,-95.61,1.407
690,A167,-97.162,432462,559581,-41.878,7.539,80.162,-95.84,1.322
691,A168,-97.385,425894,566358,-48.797,7.6,80.102,-96.09,1.295
692,A169,-98.226,410699,566448,-81.554,7.601,79.964,-96.54,1.686
693,A170,-97.947,409853,552613,-71.627,7.476,79.957,-96.57,1.377
694,A172,-97.911,413875,535765,-76.979,7.324,79.994,-96.48,1.431
695,A173,-98.36,399045,532985,-93.676,7.298,79.859,-97.08,1.28
696,A174,-98.401,395683,550944,-90.945,7.46,79.829,-97.05,1.351
697,A176,-98.047,406163,577145,-68.9,7.698,79.923,-96.68,1.367
698,A179,-97.76,410903,601968,-55.741,7.922,79.966,-96.49,1.27
699,A180,-97.998,403139,609992,-62.932,7.995,79.895,-96.58,1.418
700,A181,-98.437,389501,605410,-94.733,7.953,79.771,-97.01,1.427
701,A183,-98.605,385036,620503,-97.597,8.089,79.731,-97.15,1.455
702,A185,-97.924,399360,631263,-69.256,8.187,79.86,-96.52,1.404
703,A186,-97.834,409898,616686,-68.162,8.055,79.956,-96.45,1.384
704,A187,-97.46,426462,610815,-31.936,8.002,80.107,-96.14,1.32
705,A188,-97.48,426131,633328,-52.426,8.206,80.103,-96.12,1.36
706,A189,-97.148,436650,639014,-23.708,8.257,80.199,-95.82,1.328
707,A190,-96.996,436894,663787,-41.626,8.481,80.201,-95.72,1.276
708,A191,-96.759,449358,654290,-20.571,8.396,80.314,-95.48,1.279
709,A192,-97.196,459739,647789,-19.625,8.337,80.408,-95.26,1.936
710,A195,-96.571,460273,626840,9.486,8.148,80.413,-95.25,1.321
711,A196,-96.354,469854,640859,9.575,8.274,80.5,-95.03,1.324
712,A197,-96.109,478279,620082,91.879,8.086,80.577,-94.78,1.329
713,A198,-95.971,481686,611048,38.024,8.005,80.608,-94.63,1.341
714,A199,-95.705,495068,635513,42.571,8.226,80.729,-94.53,1.175
715,A200,-96.176,477291,652338,8.134,8.378,80.568,-94.85,1.326
716,A201,-96.271,471293,661162,-19.402,8.458,80.513,-94.98,1.291
717,A202,-96.314,468719,670793,-0.591,8.545,80.49,-95.02,1.294
718,A203,-95.898,490998,657717,29.145,8.427,80.692,-94.58,1.318
719,A204,-95.898,489144,670497,23.169,8.543,80.675,-94.6,1.298
720,A205,-95.91,488139,680962,16.941,8.637,80.666,-94.62,1.29
721,A206,-96.137,501212,708678,-49.174,8.888,80.785,-94.84,1.297
722,A207,-96.023,497489,701476,0.776,8.823,80.751,-94.72,1.303
723,A208,-96.23,499451,717626,-69.031,8.969,80.769,-95.05,1.18
724,A210,-95.682,505874,670705,-23.789,8.544,80.827,-94.44,1.242
725,A211,-95.63,509344,654485,-1.82,8.398,80.859,-94.35,1.28
726,A212,-95.583,512628,635243,-4.866,8.224,80.888,-94.36,1.223
727,A213,-95.01,533825,632242,-67.219,8.197,81.081,-94.41,0.6
728,A215,-95.643,552232,604617,-58.295,7.947,81.247,-94.36,1.283
729,A216,-95.735,538119,600312,-56.601,7.908,81.119,-94.47,1.265
730,A217,-95.773,526145,604072,-44.171,7.942,81.011,-94.5,1.273
731,A218,-95.659,532018,623741,-63.66,8.12,81.064,-94.46,1.199
732,A219,-95.667,513658,614986,2.016,8.041,80.898,-94.44,1.227
733,A220,-95.687,498657,615866,76.225,8.049,80.762,-94.44,1.247
734,A221,-95.562,510307,600093,11.448,7.906,80.867,-94.41,1.152
735,A222,-95.568,505657,588640,28.035,7.802,80.825,-94.27,1.298
736,A223,-95.387,506328,577167,30.529,7.699,80.831,-94.12,1.267
737,A224,-95.608,514678,594432,-23.723,7.855,80.907,-94.44,1.168
738,A225,-95.779,527604,590567,-42.624,7.82,81.024,-94.48,1.299
739,A226,-95.7,541546,586495,-21.934,7.783,81.15,-94.41,1.29
740,A227,-95.601,549931,572951,-17.28,7.66,81.226,-94.3,1.301
741,A240,-95.511,525432,650733,-49.147,8.364,81.005,-94.26,1.251
742,A241,-95.424,530318,659192,-68.616,8.44,81.049,-94.19,1.234
743,A244,-95.514,543304,673268,-79.576,8.567,81.167,-94.21,1.304
744,A251,-96.302,470051,694275,-2.695,8.757,80.502,-95.03,1.272
745,A252,-94.068,526582,478122,1854.454,6.803,81.014,-92.54,1.528
746,AA01,-98.174,400556,488048,-75.562,6.892,79.874,-97.19,0.984
747,AA02,-98.078,396262,613535,-96.262,8.026,79.833,-96.72,1.358
748,AA03,-96.596,459932,646895,-10.19,8.329,80.41,-95.26,1.336
749,AA05,-95.779,550180,673615,-87.374,8.571,81.23,-94.31,1.469
750,AA06,-95.678,524933,601271,-33.734,7.917,81,-94.5,1.178
751,AA07,-95.114,602052,579533,-86.852,7.719,81.699,-93.47,1.644
752,AA08,-96.843,561434,435029,-54.166,6.413,81.329,-95.58,1.263
753,AA09,-99.16,474633,384555,-91.139,5.957,80.545,-98.07,1.09
754,AA10,-94.687,485699,532111,439.476,7.291,80.644,-92.9,1.787
755,HBM2,-93.841,506536,471206,670.198,6.740405,80.832859,-92.56,1.281
756,HBM4,-93.921,506712,470663,565.135,6.7355,80.834452,-92.63,1.291
757,TBM03,-92.317,500010,497408,1870.224,6.977364,80.773825,-91.13,1.187
758,TBM05,-92.26,499812,498078,1956.008,6.983423,80.772035,-91.13,1.13
759,TBM06,-92.225,499685,498473,2016.576,6.98699,80.770884,-91.13,1.095
