OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
92,27PL-351-060,-95.046,572141,627362,-92.398,8.15201,81.4284,-93.99,1.056
93,27PL-351-065,-95.086,570447,629122,-91.224,8.16794,81.4131,-94.01,1.076
94,27PL-351-070,-95.067,570130,631608,-92.537,8.19043,81.4102,-94.01,1.057
95,27PL-351-076,-95.046,569524,634573,-92.399,8.21725,81.4048,-94.01,1.036
96,27PL-351-080,-95.071,568191,635975,-92.676,8.22994,81.3927,-94.02,1.051
97,27PL-351-085,-95.102,566323,637417,-92.027,8.24301,81.3757,-94.02,1.082
98,28PL-333-090,-95.625,595379,490440,-40.881,6.91357,81.6368,-94.18,1.445
99,28PL-333-102,-95.657,600602,488872,-52.911,6.89931,81.6841,-94.21,1.447
100,28PL-333-109,-95.655,603272,486990,-71.191,6.88224,81.7082,-94.22,1.435
101,28PL-333-130,-95.691,612611,487005,-88.183,6.88221,81.7927,-94.25,1.441
102,28PL-333-139,-95.776,616561,486562,-92.147,6.87813,81.8284,-94.34,1.436
103,28TL-017-005,-95.365,567382,561016,-40.475,7.55215,81.3843,-94.06,1.305
104,28TL-017-009,-95.31,570301,563330,-56.262,7.57304,81.4108,-94.03,1.28
105,31PL-309-023,-94.642,484180,548443,255.1779,7.43885,80.6304,-93.28,1.362
106,31PL-309-030,-94.673,483415,553131,269.1421,7.48124,80.6235,-93.43,1.243
107,31PL-309-084,-95.412,487045,581053,176.4863,7.73375,80.6563,-94.09,1.322
108,31PL-309-102,-95.662,487227,590914,91.2538,7.82292,80.6579,-94.27,1.392
109,31PL-326-007,-95.712,487315,598421,69.479,7.89081,80.6587,-94.38,1.332
110,31PL-326-018,-95.696,490369,602601,91.7908,7.92861,80.6864,-94.39,1.306
111,31PL-326-025,-95.689,492199,605729,112.0532,7.9569,80.703,-94.4,1.289
112,31PL-326-030,-95.696,493621,608000,107.4163,7.97744,80.7159,-94.41,1.286
113,32PL-303-082,-93.681,484750,512599,876.436,7.11472,80.6357,-92.23,1.451
114,32PL-303-099,-94.069,480495,514729,501.115,7.13397,80.5971,-92.61,1.459
115,32PL-308-008,-94.27,481855,530076,375.7444,7.27275,80.6094,-92.99,1.28
116,32PL-308-015,-94.374,479746,527746,379.922,7.25168,80.5903,-93.03,1.344
117,32PL-308-021,-94.262,480426,524837,389.4147,7.22537,80.5965,-92.93,1.332
118,32PL-308-033,-94.216,479041,519929,389.1727,7.18098,80.584,-92.86,1.356
119,32PL-309-002,-94.285,484998,532306,416.9362,7.29293,80.6379,-92.93,1.355
120,32PL-328-045,-95.031,473182,540447,251.0538,7.3665,80.5308,-93.68,1.351
121,32PL-328-053,-94.907,475742,537595,418.6253,7.34072,80.554,-93.47,1.437
122,32PL-328-062,-94.609,479805,536224,456.0225,7.32834,80.5908,-93.22,1.389
123,32SL-403-008,-94.123,509843,532507,720.5131,7.29476,80.8629,-92.74,1.383
124,32SL-403-015,-93.973,505800,532139,587.3631,7.29144,80.8263,-92.64,1.333
125,32SL-403-022,-93.991,503532,529135,381.0737,7.26427,80.8057,-92.61,1.381
126,32SL-403-028,-93.974,501765,526903,363.8598,7.24409,80.7897,-92.57,1.404
127,32SL-406-012,-94.032,490749,531075,383.0099,7.28181,80.6899,-92.74,1.292
128,32SL-406-018,-94.037,493426,531640,374.0254,7.28692,80.7142,-92.71,1.327
129,32SL-406-032,-93.972,496943,536071,351.4401,7.327,80.746,-92.72,1.252
130,32SL-406-043,-93.954,500942,531640,362.6444,7.28693,80.7823,-92.63,1.324
131,32TL-027-005,-94.134,489796,530047,385.7171,7.27251,80.6813,-92.74,1.394
132,32TL-027-013,-94.068,493449,528806,376.572,7.2613,80.7144,-92.64,1.428
133,32TL-027-026,-93.862,494494,526600,368.6822,7.24135,80.7239,-92.56,1.302
134,32TL-027-035,-93.847,497158,525427,426.9668,7.23074,80.748,-92.5,1.347
135,32TL-042-006,-94.151,477461,515894,408.4273,7.14449,80.5697,-92.88,1.271
136,32TL-042-014,-94.119,476979,512926,466.3746,7.11765,80.5653,-92.8,1.319
137,32TL-042-029,-94.055,474117,507764,478.3899,7.07095,80.5394,-92.83,1.225
138,32TL-042-045,-94.405,469939,503167,480.3921,7.02936,80.5016,-93.07,1.335
139,32TL-050-047,-94.926,471828,528346,423.433,7.25707,80.5186,-93.57,1.356
140,32TL-056-021,-93.969,483130,523088,504.8679,7.20956,80.621,-92.71,1.259
141,32TL-056-048,-93.546,489218,520753,795.9594,7.18846,80.6761,-92.32,1.226
142,32TL-056-065,-93.103,493187,516205,923.5895,7.14734,80.7121,-92,1.103
143,32TL-073-005,-94.116,487682,529809,432.5321,7.27036,80.6622,-92.77,1.346
144,32TL-073-014,-93.991,490702,527808,392.7733,7.25227,80.6895,-92.65,1.341
145,33PL-303-005,-92.593,499259,495961,1791.442,6.96428,80.767,-91.13,1.463
146,33PL-303-011,-92.587,497736,497941,1836.988,6.98218,80.7532,-91.15,1.437
147,33PL-303-015,-92.665,497226,499392,1876.771,6.9953,80.7486,-91.18,1.485
148,33PL-303-021,-92.698,495775,500566,1703.355,7.00592,80.7355,-91.24,1.458
149,33PL-303-022,-92.744,495528,500913,1671.753,7.00906,80.7333,-91.26,1.484
150,33PL-303-036,-93.054,492760,504599,1275.716,7.04239,80.7082,-91.49,1.564
151,33PL-303-052,-93.201,491152,506481,873.128,7.0594,80.6936,-91.63,1.571
152,33PL-303-071,-93.417,486787,509949,925.685,7.09076,80.6541,-92,1.417
153,33PL-311-010,-92.477,497449,493760,1580.217,6.94437,80.7506,-91.16,1.317
154,33PL-311-014,-92.564,495894,492790,1476.49,6.9356,80.7366,-91.21,1.354
155,33PL-311-024,-92.691,492053,493040,1300.721,6.93786,80.7018,-91.36,1.331
156,33PL-311-031,-92.961,490706,491424,1178.846,6.92324,80.6896,-91.44,1.521
157,33PL-311-033,-92.978,490402,491796,1160.303,6.9266,80.6869,-91.45,1.528
158,33PL-311-039,-93.09,488372,492552,1104.429,6.93344,80.6685,-91.55,1.54
159,33PL-311-054,-93.329,483699,493341,1118.701,6.94056,80.6262,-91.8,1.529
160,33PL-311-059,-93.447,482273,491606,1142.215,6.92487,80.6133,-91.88,1.567
161,33PL-311-063,-93.541,480764,490813,1147.967,6.91769,80.5997,-91.98,1.561
162,33PL-311-069,-93.631,479599,489476,1159.279,6.9056,80.5891,-92.05,1.581
163,33PL-311-076,-93.741,478113,489614,1080.824,6.90684,80.5757,-92.18,1.561
164,33PL-311-082,-93.926,476114,491190,1030.508,6.92108,80.5576,-92.34,1.586
165,33PL-311-085,-93.937,475574,492342,991.975,6.9315,80.5527,-92.4,1.537
166,33PL-311-095,-94.263,472477,495246,887.753,6.95775,80.5247,-92.73,1.533
167,33PL-324-066,-94.971,465471,498975,276.841,6.99143,80.4612,-93.48,1.491
168,33PL-324-074,-94.715,467714,499438,434.384,6.99563,80.4815,-93.26,1.455
169,33PL-324-084,-94.424,470192,497450,680.807,6.97766,80.504,-92.99,1.434
170,33SL-164-BM90,-94.388,471033,491018,781.983,6.9195,80.5116,-92.83,1.558
171,33SL-403-042,-93.836,506237,520136,242.9834,7.18289,80.8302,-92.41,1.426
172,33TL-013-002,-93.654,480723,484087,1041.123,6.85687,80.5993,-92.07,1.584
173,33TL-013-006,-93.764,478258,485371,1018.487,6.86847,80.577,-92.19,1.574
174,33TL-027-052,-93.775,500122,524147,415.5755,7.21917,80.7748,-92.45,1.325
175,33TL-028-013,-93.331,503820,512890,508.0069,7.11737,80.8083,-91.91,1.421
176,33TL-028-022,-93.083,502587,510266,570.5758,7.09364,80.7972,-91.7,1.383
177,33TL-028-044,-93.405,500811,517861,739.7668,7.16232,80.7811,-92.15,1.255
178,33TL-029-017,-92.278,504646,498650,1826.015,6.98859,80.8158,-91.19,1.088
179,33TL-029-026,-92.386,505561,501915,1707.0824,7.01812,80.8241,-91.31,1.076
180,33TL-029-032,-92.705,507635,501836,1578.5262,7.0174,80.8428,-91.38,1.325
181,33TL-029-046,-92.858,510684,504216,1343.7448,7.03892,80.8704,-91.63,1.228
182,33TL-029-052,-93.061,511558,506558,1222.7203,7.0601,80.8784,-91.8,1.261
183,33TL-029-063,-93.198,509618,510222,822.5309,7.09323,80.8608,-91.94,1.258
184,33TL-029-079,-93.608,507904,514183,612.5311,7.12906,80.8453,-92.14,1.468
185,33TL-054-058,-92.919,513759,499124,1179.554,6.99287,80.8983,-91.61,1.309
186,33TL-054-073,-93.007,512197,501484,1367.402,7.01421,80.8841,-91.59,1.417
187,33TL-056-081,-93.098,495952,513587,1098.5906,7.12367,80.7371,-91.83,1.268
188,33TL-056-100,-93.209,500291,514312,969.2218,7.13023,80.7764,-91.91,1.299
189,33TL-075-006,-92.486,502736,493535,1751.882,6.94234,80.7985,-91.16,1.326
190,33TL-075-008,-92.593,503331,492955,1676.975,6.93709,80.8039,-91.18,1.413
191,33TL-075-013,-92.675,505195,492023,1613.955,6.92866,80.8207,-91.23,1.445
192,41PL-305-016,-98.045,402630,554863,-88.63,7.49604,79.8915,-96.77,1.275
193,41PL-305-037,-98.382,394637,559518,-97.006,7.53798,79.819,-97.04,1.342
194,41PL-305-048,-98.514,392404,565129,-95.964,7.58867,79.7987,-97.12,1.394
195,41PL-305-060,-98.352,395575,570335,-93.93,7.6358,79.8273,-96.99,1.362
196,41PL-305-075,-98.15,399062,574917,-91.495,7.6773,79.8588,-96.87,1.28
197,41PL-312-024,-98.195,401688,545675,-85.031,7.41295,79.8831,-96.86,1.335
198,41PL-312-034,-98.366,395952,545250,-89.99,7.409,79.8312,-97.09,1.276
199,41PL-312-044,-98.316,396648,538861,-92.086,7.35124,79.8376,-97.12,1.196
200,41PL-312-048,-98.317,397394,536932,-90.149,7.33382,79.8444,-97.1,1.217
201,41PL-325-031,-97.874,418187,594662,-26.356,7.85617,80.0318,-96.35,1.524
202,41PL-325-037,-97.851,416105,596804,-27.075,7.87551,80.0129,-96.4,1.451
203,41PL-325-049,-97.851,411161,601672,-53.274,7.91944,79.968,-96.48,1.371
